time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-22T09:05:40.410Z,19.2687,121.0265,35.182,4.5,mb,50,134,3.532,0.67,us,us7000kxbi,2023-09-22T11:07:55.040Z,"73 km N of Claveria, Philippines",earthquake,10.45,9.044,0.093,34,reviewed,us,us
2023-09-22T09:04:41.626Z,54.9829,-160.4751,44.236,5,mww,116,123,0.367,0.81,us,us7000kxbh,2023-09-22T16:01:53.412Z,"Alaska Peninsula",earthquake,5.37,4.747,0.048,41,reviewed,us,us
2023-09-22T08:58:11.776Z,58.2467,-155.191,1.1,2.7,ml,,,,0.39,ak,ak023c6eiw4n,2023-09-23T04:51:32.040Z,"Alaska Peninsula",earthquake,,0.4,,,automatic,ak,ak
2023-09-22T08:56:47.740Z,36.41433333,-96.8765,7.29,2.83,ml,99,58,0,0.25,ok,ok2023span,2023-09-22T13:09:46.257Z,"",earthquake,,0.3,0.24,39,reviewed,ok,ok
2023-09-22T08:20:58.804Z,-25.2924,-179.848,469.703,4.8,mb,98,69,4.31,0.77,us,us7000kxbb,2023-09-22T08:38:02.040Z,"",earthquake,12.19,8.022,0.035,253,reviewed,us,us
2023-09-22T08:19:17.179Z,36.41533333,-96.87583333,7.32,2.71,ml,95,58,0,0.24,ok,ok2023sozh,2023-09-22T13:25:17.588Z,"10 km NW of Pawnee, Oklahoma",earthquake,,0.3,0.24,33,reviewed,ok,ok
2023-09-22T07:56:31.261Z,-21.1255,-68.7414,113.904,4.2,mb,21,71,0.701,0.61,us,us7000kxb3,2023-09-23T04:44:31.040Z,"51 km WNW of Ollagüe, Chile",earthquake,3.7,7.556,0.146,13,reviewed,us,us
2023-09-22T06:46:37.322Z,43.5237,-127.2753,10,3,ml,48,274,2.353,0.67,us,us7000kxaw,2023-09-22T12:26:23.040Z,"236 km W of Bandon, Oregon",earthquake,11.15,2.023,0.037,98,reviewed,us,us
2023-09-22T06:34:21.624Z,55.0208,-156.3285,4.8,3.6,ml,,,,0.67,ak,ak023c6d6wh3,2023-09-22T08:31:17.183Z,"192 km SE of Chignik, Alaska",earthquake,,2,,,reviewed,ak,ak
2023-09-22T05:20:22.367Z,60.6999,-147.0256,19.8,2.5,ml,,,,0.61,ak,ak023c6cigxe,2023-09-22T12:20:35.040Z,"26 km SW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-09-22T05:07:14.960Z,11.8647,-87.2264,40.427,4.6,mwr,271,148,0.998,0.73,us,us7000kxan,2023-09-24T05:55:27.086Z,"68 km S of Corinto, Nicaragua",earthquake,7.19,7.227,0.068,21,reviewed,us,us
2023-09-22T03:18:12.479Z,6.2467,123.7894,574.518,4.4,mb,49,51,1.957,0.66,us,us7000kxac,2023-09-22T03:33:19.040Z,"35 km SW of Sangay, Philippines",earthquake,9.96,7.864,0.069,62,reviewed,us,us
2023-09-22T02:21:45.316Z,36.6065,70.9835,205.225,4.4,mb,64,93,2.58,0.75,us,us7000kxa5,2023-09-22T03:08:53.040Z,"31 km SSE of Jurm, Afghanistan",earthquake,5.54,7.438,0.079,46,reviewed,us,us
2023-09-22T02:18:15.652Z,-8.3177,119.6635,193.034,4.4,mb,35,70,1.934,1.13,us,us7000kxa4,2023-09-22T02:52:25.040Z,"31 km NW of Labuan Bajo, Indonesia",earthquake,7.64,7.183,0.162,13,reviewed,us,us
2023-09-22T02:11:55.494Z,-8.7221,-74.3889,131.908,4.9,mb,62,95,4.044,0.77,us,us7000kxa3,2023-09-22T02:33:41.040Z,"Central Peru",earthquake,10.12,7.206,0.028,412,reviewed,us,us
2023-09-22T02:07:07.342Z,61.5393,-146.9259,26.8,2.7,ml,,,,0.36,ak,ak023c6ancni,2023-09-22T02:20:24.040Z,"46 km SSE of Eureka Roadhouse, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-09-22T01:34:42.320Z,17.9808333333333,-67.0111666666667,7.59,2.61,md,16,156,0.03345,0.08,pr,pr71425488,2023-09-22T01:45:49.700Z,"Puerto Rico region",earthquake,0.33,0.12,0.167108290838594,5,reviewed,pr,pr
2023-09-22T01:11:42.448Z,-3.7982,151.9464,10,5,mb,33,112,0.447,0.87,us,us7000kx9v,2023-09-22T01:29:34.040Z,"50 km NNW of Rabaul, Papua New Guinea",earthquake,4.89,1.906,0.085,44,reviewed,us,us
2023-09-22T00:46:51.447Z,31.0642,142.0254,10,4.7,mb,70,117,2.776,0.65,us,us7000kx9k,2023-09-22T01:11:36.040Z,"Izu Islands, Japan region",earthquake,5.65,1.815,0.061,81,reviewed,us,us
2023-09-22T00:45:48.799Z,14.916,108.2017,10,4.6,mb,36,78,2.959,0.35,us,us7000kx9i,2023-09-22T16:28:29.508Z,"",earthquake,6.25,1.491,0.142,15,reviewed,us,us
2023-09-22T00:31:12.047Z,18.1587,-76.6624,10,4.3,mb,53,41,0.832,0.48,us,us7000kx9c,2023-09-23T21:31:01.318Z,"8 km S of Buff Bay, Jamaica",earthquake,6.06,1.95,0.147,13,reviewed,us,us
2023-09-21T22:49:19.936Z,-21.8228,-67.1818,193.532,4.3,mwr,87,54,1.454,0.51,us,us7000kx90,2023-09-22T00:39:18.040Z,"129 km ESE of Ollagüe, Chile",earthquake,5.96,6.949,,,reviewed,us,guc
2023-09-21T22:41:40.200Z,79.5681,-18.5787,10,4.7,mb,108,70,5.704,0.48,us,us7000kx8y,2023-09-21T23:50:26.040Z,"eastern Greenland",earthquake,8.1,1.887,0.054,104,reviewed,us,us
2023-09-21T21:29:07.080Z,34.4805,-97.76816667,6.63,2.95,ml,91,47,0.1313742199,0.38,ok,ok2023sodv,2023-09-21T21:51:31.173Z,"8 km WNW of Velma, Oklahoma",earthquake,,0.9,0.23,28,reviewed,ok,ok
2023-09-21T21:22:12.556Z,30.9578,141.8328,12.734,5.7,mww,66,66,2.751,0.83,us,us7000kx7t,2023-09-22T21:27:15.832Z,"Izu Islands, Japan region",earthquake,10.19,4.34,0.069,20,reviewed,us,us
2023-09-21T21:11:49.950Z,-14.0039,167.1898,188.419,6.1,mww,76,26,7.076,0.83,us,us7000kx7j,2023-09-22T21:18:35.235Z,"41 km WSW of Sola, Vanuatu",earthquake,8.86,4.898,0.054,33,reviewed,us,us
2023-09-21T19:35:48.366Z,32.008,-103.842,5.9259,2.5,ml(texnet),20,74,0,0.1,tx,tx2023soac,2023-09-22T14:31:40.588Z,"32 km SE of Malaga, New Mexico",earthquake,1.380029687,0.8132823206,0.1,6,reviewed,tx,tx
2023-09-21T18:23:22.771Z,-6.2293,122.6361,12.127,4.7,mb,40,57,3.114,0.94,us,us7000kx63,2023-09-21T19:54:05.040Z,"84 km S of Baubau, Indonesia",earthquake,7.54,4.709,0.1,30,reviewed,us,us
2023-09-21T18:13:34.614Z,-6.4903,103.7535,27.731,4.6,mb,37,164,2.26,0.62,us,us7000kx67,2023-09-21T19:37:33.040Z,"204 km SW of Bandar Lampung, Indonesia",earthquake,9.31,5.513,0.119,21,reviewed,us,us
2023-09-21T16:43:07.424Z,-8.5992,118.3484,133.246,4.5,mb,16,76,0.609,0.88,us,us7000kx5q,2023-09-21T17:17:33.040Z,"14 km WSW of Dompu, Indonesia",earthquake,8.34,7.026,0.172,10,reviewed,us,us
2023-09-21T15:20:32.162Z,-30.6421,-178.217,40.104,5.6,mww,206,44,1.399,0.79,us,us7000kx4l,2023-09-22T15:34:29.104Z,"Kermadec Islands, New Zealand",earthquake,7.4,3.505,0.056,31,reviewed,us,us
2023-09-21T14:43:08.267Z,38.5573,45.4365,10,4.4,mb,21,91,1.068,0.81,us,us7000kx4i,2023-09-21T20:33:53.040Z,"32 km WNW of Marand, Iran",earthquake,5.96,1.795,0.17,10,reviewed,us,us
2023-09-21T13:15:55.080Z,18.0475,-66.9675,12.1,2.7,md,5,191,0.09351,0.15,pr,pr71425458,2023-09-21T13:41:47.710Z,"2 km W of Liborio Negron Torres, Puerto Rico",earthquake,3.08,3.71,0.0490852397579697,3,reviewed,pr,pr
2023-09-21T11:19:00.630Z,18.8505,-67.3286666666667,13.28,2.98,md,8,283,0.4332,0.21,pr,pr71425448,2023-09-21T11:53:32.860Z,"46 km NNW of San Antonio, Puerto Rico",earthquake,2.02,3.19,0.153408148121863,3,reviewed,pr,pr
2023-09-21T10:09:24.493Z,-23.2426,-66.7283,204.544,4.5,mb,56,34,1.367,1.16,us,us7000kx27,2023-09-21T10:39:35.040Z,"107 km W of El Aguilar, Argentina",earthquake,7.87,7.616,0.065,70,reviewed,us,us
2023-09-21T09:48:22.893Z,13.7876,144.6376,148.416,5,mb,85,40,0.299,1.04,us,us7000kx26,2023-09-24T09:58:38.433Z,"",earthquake,6.37,4.584,0.029,383,reviewed,us,us
2023-09-21T09:23:23.510Z,17.9503333333333,-66.9553333333333,14.83,2.6,md,8,212,0.07647,0.07,pr,pr71425438,2023-09-21T10:27:17.480Z,"5 km WSW of Guánica, Puerto Rico",earthquake,0.71,0.72,0.0889334153083212,4,reviewed,pr,pr
2023-09-21T08:33:39.540Z,17.9121666666667,-66.8726666666667,12.81,2.51,md,8,231,0.06286,0.15,pr,pr71425433,2023-09-21T08:51:06.920Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,1.15,0.54,0.0690946818620057,5,reviewed,pr,pr
2023-09-21T07:24:26.789Z,34.4735,-97.76116667,18.13,2.84,ml,97,47,0.1403724541,0.38,ok,ok2023snbz,2023-09-21T20:02:15.012Z,"8 km W of Velma, Oklahoma",earthquake,,0.9,0.22,27,reviewed,ok,ok
